time,latitude,longitude,depth,magnitude,place,source
2026-08-03 15:54:03,39.78,143.36,10.0,4.8,"Off East Coast of Honshu, Japan",GEOFON
2026-08-03 05:30:15,42.21,142.22,10.0,4.9,"Hokkaido, Japan Region",GEOFON
2026-08-02 14:49:47,42.33,142.98,57.0,5.0,"Hokkaido, Japan Region",GEOFON
2026-08-02 00:45:38,40.18,142.58,48.0,5.0,"Near East Coast of Honshu, Japan",GEOFON
2026-08-01 19:10:50,32.02,131.83,10.0,5.2,"Kyushu, Japan",GEOFON
2026-08-01 12:47:24,32.78,130.6,10.0,5.0,"Kyushu, Japan",GEOFON
2026-08-01 02:48:01,41.32,141.91,79.0,5.5,"Hokkaido, Japan Region",GEOFON
2026-07-30 13:47:39,32.74,130.68,10.0,5.0,"Kyushu, Japan",GEOFON
2026-07-29 20:16:36,32.58,130.56,10.0,4.9,"Kyushu, Japan",GEOFON
2026-07-29 13:19:38,32.46,130.44,10.0,5.5,"Kyushu, Japan",GEOFON
2026-07-29 11:47:53,32.75,130.42,10.0,4.7,"Kyushu, Japan",GEOFON
2026-07-28 14:01:58,32.51,130.66,10.0,4.9,"Kyushu, Japan",GEOFON
2026-07-28 08:18:54,32.35,130.55,10.0,5.2,"Kyushu, Japan",GEOFON
2026-07-28 08:08:35,32.43,130.81,10.0,5.7,"Kyushu, Japan",GEOFON
2026-07-28 07:27:14,32.66,130.65,10.0,6.8,"Kyushu, Japan",GEOFON
2026-07-27 19:03:38,28.17,140.01,428.0,4.5,"Bonin Islands, Japan Region",GEOFON
2026-07-26 05:58:51,38.42,133.53,438.0,4.7,Sea of Japan,GEOFON
2026-07-24 18:43:05,31.58,141.51,39.0,4.6,"Southeast of Honshu, Japan",GEOFON
2026-07-23 09:22:23,27.94,130.15,10.0,5.1,"Ryukyu Islands, Japan",GEOFON
2026-07-19 01:40:05,38.68,133.53,450.0,4.3,Sea of Japan,GEOFON
2026-07-18 21:54:57,43.43,132.52,497.0,4.2,"Primor'ye, Russia",GEOFON
2026-07-16 21:49:41,30.85,131.43,23.0,5.1,"Kyushu, Japan",GEOFON
2026-07-16 16:04:31,34.35,141.51,10.0,4.9,"Off East Coast of Honshu, Japan",GEOFON
2026-07-16 00:01:07,35.7,140.76,45.0,4.7,"Near East Coast of Honshu, Japan",GEOFON
2026-07-15 12:29:38,40.21,142.5,43.0,4.8,"Near East Coast of Honshu, Japan",GEOFON
2026-07-14 08:07:32,40.14,142.4,58.0,5.2,"Near East Coast of Honshu, Japan",GEOFON
2026-07-14 07:44:11,40.07,143.34,20.0,5.0,"Off East Coast of Honshu, Japan",GEOFON
2026-07-09 16:21:45,25.41,124.91,110.0,4.7,Northeast of Taiwan,GEOFON
2026-07-09 12:58:57,33.16,135.29,10.0,5.1,Near South Coast of Western Honshu,GEOFON
2026-07-08 07:35:51,40.12,141.99,60.0,4.8,"Near East Coast of Honshu, Japan",GEOFON
2026-07-06 17:09:05,40.18,142.24,61.0,4.8,"Near East Coast of Honshu, Japan",GEOFON
2026-07-06 11:29:35,40.43,141.96,59.0,4.8,"Near East Coast of Honshu, Japan",GEOFON
2026-07-04 17:03:57,29.65,142.41,10.0,4.8,"Southeast of Honshu, Japan",GEOFON
2026-07-04 16:57:51,29.56,142.66,10.0,4.7,"Southeast of Honshu, Japan",GEOFON
2026-07-04 05:03:53,32.11,142.26,10.0,4.9,"Southeast of Honshu, Japan",GEOFON
2026-07-04 02:56:15,33.41,136.84,384.0,4.6,Near South Coast of Western Honshu,GEOFON
